iteration,time_ps,negative_q_branch_count,negative_qpoint_count,branch_1_count,branch_2_count,branch_3_count,path_integral_negative_indicator,path_integrated_negative_fraction,path_integral_absolute_imaginary_frequency_THz
304,0.3039999902,58,42,42,16,0,2.0238449916,0.0649971043,0.6274223601
305,0.3050000072,31,25,25,6,0,1.0611724772,0.0340802475,0.2021601598
306,0.3059999943,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
307,0.3070000112,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
308,0.3079999983,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
309,0.3089999855,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
310,0.3100000024,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
311,0.3109999895,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
312,0.3120000064,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
313,0.3129999936,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
314,0.3140000105,16,16,16,0,0,0.4720181821,0.0151591723,0.0762630145
315,0.3149999976,18,18,18,0,0,0.5310204548,0.0170540689,0.1145725467
316,0.3160000145,36,30,30,6,0,1.1416036588,0.0366633474,0.3388667459
317,0.3170000017,62,44,44,18,0,2.0677587031,0.0664074218,0.7240922797
318,0.3179999888,75,52,52,23,0,2.5175757670,0.0808535907,1.3824928673
319,0.3190000057,76,53,53,23,0,2.5470769034,0.0818010390,1.6401375923
320,0.3199999928,80,56,56,24,0,2.6783419071,0.0860167004,2.1605046105
321,0.3210000098,81,57,57,24,0,2.7078430435,0.0869641486,2.3700723110
322,0.3219999969,82,58,58,24,0,2.7373441799,0.0879115969,2.7292083072
323,0.3230000138,84,60,60,24,0,2.8096069108,0.0902323617,2.8863077721
324,0.3240000010,83,59,59,24,0,2.7668453163,0.0888590452,3.0864123818
325,0.3249999881,92,61,61,31,0,3.0812346268,0.0989558633,3.1578922918
326,0.3260000050,107,64,64,43,0,3.6082493806,0.1158812865,3.3986897859
327,0.3269999921,115,67,67,48,0,3.8931375548,0.1250306563,3.5394854952
328,0.3280000091,122,69,69,53,0,4.1485245927,0.1332325779,3.8233932323
329,0.3289999962,126,70,70,56,0,4.2909686798,0.1378072628,4.0173344130
330,0.3300000131,129,70,70,59,0,4.3906511723,0.1410086312,4.2913192781
331,0.3310000002,135,72,72,63,0,4.6165370737,0.1482631045,4.5669749957
332,0.3319999874,140,74,74,66,0,4.7884822972,0.1537852377,4.8129507046
333,0.3330000043,144,75,75,69,0,4.9309263843,0.1583599227,5.0540155226
334,0.3339999914,146,75,75,71,0,4.9899286571,0.1602548192,5.1544887183
335,0.3350000083,149,75,75,74,0,5.0784320662,0.1630971640,5.2764895407
