# x_path held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz
1.2249328871 8.7846869012 9.4307089183 10.8063267316 14.5112256059 14.6801437618 14.9623088765
1.2489511790 8.9213548986 9.5926369158 10.9585381989 14.6324377766 14.7996376204 14.8451457962
1.2729694709 9.0559373633 9.7531442865 11.1072823183 14.7285520228 14.7459252229 14.9113638419
1.2969877629 9.1883962480 9.9121966369 11.2524158998 14.6126735343 14.8516487487 15.0154390318
1.3210060548 9.3186940232 10.0697580450 11.3937844319 14.4976565134 14.9495556675 15.1120224882
1.3450243467 9.4467937192 10.2257907912 11.5312206002 14.3836470712 15.0395748119 15.2013231199
1.3690426386 9.5726589683 10.3802550315 11.6645426852 14.2707909536 15.1216129331 15.2836051600
1.3930609305 9.6962540490 10.5331084019 11.7935528553 14.1592332285 15.1955547366 15.3591904235
1.4170792224 9.8175439305 10.6843055322 11.9180353879 14.0491179557 15.2612692662 15.4284543849
1.4410975143 9.9364943187 10.8337974479 12.0377548719 13.9405878379 15.3186244628 15.4918142196
1.4663847035 9.7997531526 10.6757327493 12.0389870593 14.0388239892 15.2667877484 15.4289806698
1.4916718928 9.6648415365 10.5110363373 12.0370191882 14.1347182338 15.1827820518 15.3953733722
1.5169590820 9.5318992709 10.3404276281 12.0317463207 14.2282426011 15.0814903609 15.3763596179
1.5422462713 9.4010695144 10.1646003479 12.0231147752 14.3193697740 14.9730041639 15.3621146859
1.5675334605 9.2724987302 9.9842386238 12.0111089744 14.4080731096 14.8612066157 15.3490372820
1.5928206498 9.1463365953 9.8000276452 11.9957446553 14.4943266622 14.7477985587 15.3357212253
1.6181078390 9.0227358670 9.6126613827 11.9770657949 14.5781052045 14.6337389968 15.3215119196
1.6433950282 8.9018522026 9.4228486475 11.9551437898 14.5196931058 14.6593842495 15.3060546659
1.6686822175 8.7838439247 9.2313181629 11.9300780036 14.4061880218 14.7381400719 15.2891347410
1.6939694067 8.6688717285 9.0388229868 11.9019970808 14.2936732979 14.8143497292 15.2706125459
1.7192565960 8.5570983239 8.8461444340 11.8710605477 14.1825460195 14.8879910823 15.2503940727
1.7445437852 8.4486880091 8.6540955279 11.8374602697 14.0731614654 14.9590428151 15.2284160868
1.7698309745 8.3438061678 8.4635239208 11.8014213461 13.9658376085 15.0274844547 15.2046380575
1.7951181637 8.2426186897 8.2753141515 11.7632020319 13.8608571957 15.0932963896 15.1790374463
1.8204053530 8.0903890415 8.1452913090 11.7230922946 13.7584693216 15.1516067908 15.1564598885
1.8456925422 7.9097099646 8.0519888598 11.6814106713 13.6588915778 15.1223518156 15.2169571179
1.8709797315 7.7342756651 7.9628744493 11.6384991694 13.5623134210 15.0912901680 15.2747711588
1.8962669207 7.5651192399 7.8781085514 11.5947160806 13.4689011123 15.0584505621 15.3298860236
1.9215541100 7.4033028643 7.7978480235 11.5504267122 13.3788043562 15.0238722030 15.3822866716
1.9468412992 7.2499098240 7.7222450571 11.5059921921 13.2921645811 14.9876044222 15.4319590240
1.9721284884 7.1060334514 7.6514460690 11.4617566440 13.2091246398 14.9497064767 15.4788899783
1.9974156777 6.9727626530 7.5855905493 11.4180331544 13.1298395787 14.9102474874 15.5230674220
2.0227028669 6.8511638879 7.5248098809 11.3750890701 13.0544880094 14.8693065008 15.5644802456
2.0479900562 6.7422597158 7.4692261494 11.3331312722 12.9832835068 14.8269726652 15.6031183549
2.0732772454 6.6470043748 7.4189509661 11.2922922141 12.9164853238 14.7833455174 15.6389726825
2.0985644347 6.5662572578 7.3740843268 11.2526176823 12.8544075407 14.7385353810 15.6720351987
2.1238516239 6.5007555737 7.3347135306 11.2140574686 12.7974255393 14.6926638778 15.7022989219
2.1491388132 6.4510878457 7.3009121853 11.1764603914 12.7459784402 14.6458645585 15.7297579279
2.1744260024 6.4176701216 7.2727393233 11.1395752913 12.7005659498 14.5982836579 15.7544073587
2.1997131917 6.4007267837 7.2502386509 11.1030595990 12.6617380802 14.5500809841 15.7762434308
2.2250003809 6.4002775925 7.2334379529 11.0664966363 12.6300766333 14.5014309506 15.7952634427
2.2502875701 6.4161320933 7.2223486685 11.0294217729 12.6061683622 14.4525237607 15.8114657815
2.2755747594 6.4478918177 7.2169656521 10.9913559260 12.5905713428 14.4035667540 15.8248499294
2.3008619486 6.4949599411 7.2172671260 10.9518429576 12.5837780016 14.3547859246 15.8354164689
2.3261491379 6.5565573417 7.2232148288 10.9104859539 12.5861797968 14.3064276170 15.8431670880
2.3514363271 6.6317434745 7.2347543549 10.8669769318 12.5980389689 14.2587604034 15.8481045844
